Entity,Code,Year,Total food expenditure
Algeria,DZA,2017,651.2
Algeria,DZA,2018,645.6
Algeria,DZA,2019,556.0795
Algeria,DZA,2020,520.0589
Algeria,DZA,2021,614.0008
Angola,AGO,2017,1144.6
Angola,AGO,2018,893.6
Angola,AGO,2019,451.0519
Angola,AGO,2020,513.12964
Angola,AGO,2021,657.6129
Argentina,ARG,2017,2715.9
Argentina,ARG,2018,2139.8
Argentina,ARG,2019,859.241
Argentina,ARG,2020,1090.9214
Argentina,ARG,2021,1494.6925
Australia,AUS,2017,3016
Australia,AUS,2018,3003.6
Australia,AUS,2019,2546.8447
Australia,AUS,2020,2722.4756
Australia,AUS,2021,3239.4424
Austria,AUT,2017,2434.6
Austria,AUT,2018,2618.2
Austria,AUT,2019,2291.102
Austria,AUT,2020,2085.374
Austria,AUT,2021,2987.647
Azerbaijan,AZE,2017,943.7
Azerbaijan,AZE,2018,989.6
Azerbaijan,AZE,2019,1093.2401
Azerbaijan,AZE,2020,1055.4464
Azerbaijan,AZE,2021,1223.5452
Bahrain,BHR,2017,1576.3
Bahrain,BHR,2018,1674.1
Bahrain,BHR,2019,1230.5845
Bahrain,BHR,2020,1140.0425
Bahrain,BHR,2021,1239.1884
Bangladesh,BGD,2017,546.7
Bangladesh,BGD,2018,611.9
Bangladesh,BGD,2019,649.29535
Bangladesh,BGD,2020,723.7309
Bangladesh,BGD,2021,791.20123
Belarus,BLR,2017,1025.4
Belarus,BLR,2018,1090.4
Belarus,BLR,2019,923.08716
Belarus,BLR,2020,1014.7107
Belarus,BLR,2021,1179.2625
Belgium,BEL,2017,2834.2
Belgium,BEL,2018,3034.7
Belgium,BEL,2019,2694.3694
Belgium,BEL,2020,2454.2979
Belgium,BEL,2021,3260.3809
Bolivia,BOL,2017,667.5
Bolivia,BOL,2018,696.3
Bolivia,BOL,2019,649.1287
Bolivia,BOL,2020,602.91113
Bolivia,BOL,2021,659.9653
Bosnia and Herzegovina,BIH,2017,1282.7
Bosnia and Herzegovina,BIH,2018,1403.8
Bosnia and Herzegovina,BIH,2019,1227.2747
Bosnia and Herzegovina,BIH,2020,1205.5502
Bosnia and Herzegovina,BIH,2021,1421.5299
Brazil,BRA,2017,954.6
Brazil,BRA,2018,866.3
Brazil,BRA,2019,599.6366
Brazil,BRA,2020,655.79486
Brazil,BRA,2021,722.0721
Bulgaria,BGR,2017,1008.8
Bulgaria,BGR,2018,1172.1
Bulgaria,BGR,2019,1038.902
Bulgaria,BGR,2020,1123.2827
Bulgaria,BGR,2021,1338.8458
Cambodia,KHM,2017,468.9
Cambodia,KHM,2018,500.2
Cambodia,KHM,2019,495.7677
Cambodia,KHM,2020,457.17178
Cambodia,KHM,2021,546.4503
Cameroon,CMR,2017,453.2
Cameroon,CMR,2018,501.3
Cameroon,CMR,2019,469.00677
Cameroon,CMR,2020,456.21967
Cameroon,CMR,2021,540.9608
Canada,CAN,2017,2291.3
Canada,CAN,2018,2350.9
Canada,CAN,2019,2098.342
Canada,CAN,2020,2294.0552
Canada,CAN,2021,2766.5105
Chile,CHL,2017,1521.1
Chile,CHL,2018,1613.5
Chile,CHL,2019,1275.6061
Chile,CHL,2020,1230.2683
Chile,CHL,2021,1806.7124
China,CHN,2017,737
China,CHN,2018,814.5
China,CHN,2019,743.21545
China,CHN,2020,882.5526
China,CHN,2021,933.8022
Colombia,COL,2017,827.4
Colombia,COL,2018,869.2
Colombia,COL,2019,561.54987
Colombia,COL,2020,555.18396
Colombia,COL,2021,806.6916
Costa Rica,CRI,2017,2109.1
Costa Rica,CRI,2018,2143
Costa Rica,CRI,2019,2220.0195
Costa Rica,CRI,2020,2211.117
Costa Rica,CRI,2021,2656.4326
Cote d'Ivoire,CIV,2017,424.2
Cote d'Ivoire,CIV,2018,452.9
Cote d'Ivoire,CIV,2019,598.85657
Cote d'Ivoire,CIV,2020,592.9711
Cote d'Ivoire,CIV,2021,673.4896
Croatia,HRV,2017,2290.4
Croatia,HRV,2018,2564.7
Croatia,HRV,2019,1699.2692
Croatia,HRV,2020,1762.2521
Croatia,HRV,2021,2256.284
Czechia,CZE,2017,1610.7
Czechia,CZE,2018,1835.8
Czechia,CZE,2019,1568.2462
Czechia,CZE,2020,1630.1895
Czechia,CZE,2021,1947.2992
Denmark,DNK,2017,3004.2
Denmark,DNK,2018,3220
Denmark,DNK,2019,2806.4456
Denmark,DNK,2020,3019.4075
Denmark,DNK,2021,3727.229
Dominican Republic,DOM,2017,1450.7
Dominican Republic,DOM,2018,1508.7
Dominican Republic,DOM,2019,1416.301
Dominican Republic,DOM,2020,1438.4884
Dominican Republic,DOM,2021,1674.0455
Ecuador,ECU,2017,995.2
Ecuador,ECU,2018,1015.6
Ecuador,ECU,2019,889.7669
Ecuador,ECU,2020,814.7874
Ecuador,ECU,2021,984.15454
Egypt,EGY,2017,595.1
Egypt,EGY,2018,684.9
Egypt,EGY,2019,1025.6014
Egypt,EGY,2020,1239.9948
Egypt,EGY,2021,1369.1368
El Salvador,SLV,2017,890.8
El Salvador,SLV,2018,922.2
El Salvador,SLV,2019,839.15955
El Salvador,SLV,2020,742.20654
El Salvador,SLV,2021,1034.8896
Estonia,EST,2017,2069.7
Estonia,EST,2018,2317.7
Estonia,EST,2019,2075.1401
Estonia,EST,2020,2199.5994
Estonia,EST,2021,2621.3987
Ethiopia,ETH,2017,254.9
Ethiopia,ETH,2018,257.4
Ethiopia,ETH,2019,174.16106
Ethiopia,ETH,2020,233.75694
Ethiopia,ETH,2021,244.73125
Finland,FIN,2017,2736.7
Finland,FIN,2018,2908.7
Finland,FIN,2019,2563.4158
Finland,FIN,2020,2809.4917
Finland,FIN,2021,3137.7615
France,FRA,2017,2786.4
France,FRA,2018,2983.4
France,FRA,2019,2658.6528
France,FRA,2020,2846.2764
France,FRA,2021,3234.394
Georgia,GEO,2017,876.9
Georgia,GEO,2018,922.5
Georgia,GEO,2019,1001.7222
Georgia,GEO,2020,1138.663
Georgia,GEO,2021,1388.4469
Germany,DEU,2017,2379.6
Germany,DEU,2018,2562.9
Germany,DEU,2019,2267.84
Germany,DEU,2020,2317.7488
Germany,DEU,2021,2897.0408
Ghana,GHA,2017,576.8
Ghana,GHA,2018,627
Ghana,GHA,2019,505.2183
Ghana,GHA,2020,566.20483
Ghana,GHA,2021,648.25385
Greece,GRC,2017,2333.4
Greece,GRC,2018,2510.6
Greece,GRC,2019,2111.1052
Greece,GRC,2020,2325.7402
Greece,GRC,2021,2489.9873
Guatemala,GTM,2017,1601.9
Guatemala,GTM,2018,1662.5
Guatemala,GTM,2019,1386.8254
Guatemala,GTM,2020,1365.0137
Guatemala,GTM,2021,1484.9662
Honduras,HND,2017,614.3
Honduras,HND,2018,645.9
Honduras,HND,2019,507.02377
Honduras,HND,2020,477.0356
Honduras,HND,2021,712.1019
Hong Kong,HKG,2017,4635.2
Hong Kong,HKG,2018,5002.2
Hong Kong,HKG,2019,4318.8677
Hong Kong,HKG,2020,4181.5166
Hong Kong,HKG,2021,3671.5447
Hungary,HUN,2017,1306.8
Hungary,HUN,2018,1449.4
Hungary,HUN,2019,1170.9205
Hungary,HUN,2020,1282.0813
Hungary,HUN,2021,1596.8452
India,IND,2017,355.2
India,IND,2018,372.2
India,IND,2019,337.50467
India,IND,2020,325.86438
India,IND,2021,446.47217
Indonesia,IDN,2017,693.1
Indonesia,IDN,2018,696.5
Indonesia,IDN,2019,700.92926
Indonesia,IDN,2020,693.1733
Indonesia,IDN,2021,799.22504
Iran,IRN,2017,761.4
Iran,IRN,2018,657.9
Iran,IRN,2019,846.14075
Iran,IRN,2020,1109.2701
Iran,IRN,2021,2188.1125
Iraq,IRQ,2017,765.4
Iraq,IRQ,2018,739.5
Iraq,IRQ,2019,806.43164
Iraq,IRQ,2020,759.7717
Iraq,IRQ,2021,578.2825
Ireland,IRL,2017,1972.9
Ireland,IRL,2018,2098.7
Ireland,IRL,2019,1778.8379
Ireland,IRL,2020,1919.0405
Ireland,IRL,2021,2147.791
Israel,ISR,2017,3501.6
Israel,ISR,2018,3611.8
Israel,ISR,2019,3373.9187
Israel,ISR,2020,3008.407
Israel,ISR,2021,3996.6045
Italy,ITA,2017,2806.6
Italy,ITA,2018,2986.9
Italy,ITA,2019,2710.3584
Italy,ITA,2020,2820.4473
Italy,ITA,2021,3168.3293
